//Heading
System ID:	ABSS07021
User name:	karols1
Run number:	KIH11003

HalfTime:	20.3
Tube length:	
Pump speed:	
DeadTimeSingles:	2.0E-6
DeadTimeCoincidents:	2.0E-6
DiscriminatorSingles:	115
DiscriminatorCoincidents:	230
EffectivitySingles:	0.8090312936807411
EffectivityCoincidents:	0.561374808926122
//Data
Absolute time	Time after start [s]	Singles [cnt]	Coincidents [cnt]	Singles count rate [kBq/ml]	Coincidents count rate [kBq/ml]	Singles count rate DTC [kBq/ml]	Coincidents count rate DTC [kBq/ml]	Singles DTC&decay [kBq/ml]	Coincidents DTC&decay [kBq/ml]
2013-12-12 09:57:54	0.0	3	1	0.10491885261389809	0.050401641180454	0.10491963072691954	0.050401820746120096	0.10491963072691954	0.050401820746120096
2013-12-12 09:57:55	1.0	2	2	0.06994590174259874	0.100803282360908	0.06994624756975334	0.10080400062613135	0.06998606435335805	0.10086138313368354
2013-12-12 09:57:56	2.0	4	1	0.13989180348519747	0.050401641180454	0.1398931868006553	0.050401820746120096	0.14005250005402609	0.05045921938162561
2013-12-12 09:57:57	3.0	11	5	0.384702459584293	0.25200820590226997	0.38471292108847716	0.252012695107897	0.3853702866976164	0.25244331355024535
2013-12-12 09:57:58	4.0	8	5	0.27978360697039495	0.25200820590226997	0.2797891402869422	0.252012695107897	0.2804267624639845	0.2525870164812434
2013-12-12 09:57:59	5.0	8	4	0.27978360697039495	0.201606564721816	0.2797891402869422	0.20160943780318122	0.28058639492613857	0.20218392064204163
2013-12-12 09:58:00	6.0	5	3	0.17486475435649682	0.15120492354136197	0.17486691579224295	0.15120653964387218	0.17546502258884256	0.1517237195726287
2013-12-12 09:58:01	7.0	5	4	0.17486475435649682	0.201606564721816	0.17486691579224295	0.20160943780318122	0.1755649057573806	0.2024141718709499
2013-12-12 09:58:02	8.0	4	2	0.13989180348519747	0.100803282360908	0.1398931868006553	0.10080400062613135	0.14053152921619533	0.10126397634565996
2013-12-12 09:58:03	9.0	5	2	0.17486475435649682	0.100803282360908	0.17486691579224295	0.10080400062613135	0.17576484270179948	0.10132162069361565
