//Heading
System ID:	ABSS07021
User name:	karols1
Run number:	KIH11003

HalfTime:	20.3
Tube length:	
Pump speed:	
DeadTimeSingles:	2.0E-6
DeadTimeCoincidents:	2.0E-6
DiscriminatorSingles:	115
DiscriminatorCoincidents:	230
EffectivitySingles:	0.8090312936807411
EffectivityCoincidents:	0.561374808926122
//Data
Absolute time	Time after start [s]	Singles [cnt]	Coincidents [cnt]	Singles count rate [kBq/ml]	Coincidents count rate [kBq/ml]	Singles count rate DTC [kBq/ml]	Coincidents count rate DTC [kBq/ml]	Singles DTC&decay [kBq/ml]	Coincidents DTC&decay [kBq/ml]
2013-05-20 09:56:27	0.0	4	3	0.13989180348519747	0.15120492354136197	0.1398931868006553	0.15120653964387218	0.1398931868006553	0.15120653964387218
2013-05-20 09:56:28	1.0	6	3	0.20983770522779618	0.15120492354136197	0.2098408177029651	0.15120653964387218	0.20996026923496589	0.1512926137118572
2013-05-20 09:56:29	2.0	7	5	0.24481065609909555	0.25200820590226997	0.244814892534104	0.252012695107897	0.24509369279518325	0.25229969237535926
2013-05-20 09:56:30	3.0	7	6	0.24481065609909555	0.30240984708272395	0.244814892534104	0.30241631156185816	0.2452332119669468	0.30293305553370353
2013-05-20 09:56:31	4.0	9	7	0.3147565578416943	0.352811488263178	0.31476356096276215	0.35282028716890335	0.31548088768526766	0.35362434282087973
2013-05-20 09:56:32	5.0	8	6	0.27978360697039495	0.30240984708272395	0.2797891402869422	0.30241631156185816	0.28058639492613857	0.3032780419603793
2013-05-20 09:56:33	6.0	5	4	0.17486475435649682	0.201606564721816	0.17486691579224295	0.20160943780318122	0.17546502258884256	0.2022990134982885
2013-05-20 09:56:34	7.0	7	5	0.24481065609909555	0.25200820590226997	0.244814892534104	0.252012695107897	0.24579208331676794	0.2530186162764363
2013-05-20 09:56:35	8.0	2	1	0.06994590174259874	0.050401641180454	0.06994624756975334	0.050401820746120096	0.07026541719947421	0.050631807786507846
2013-05-20 09:56:36	9.0	8	6	0.27978360697039495	0.30240984708272395	0.2797891402869422	0.30241631156185816	0.28122583399728257	0.3039691938941734
2013-05-20 09:56:37	10.0	6	4	0.20983770522779618	0.201606564721816	0.2098408177029651	0.20160943780318122	0.2110383975637562	0.20276004046047869
2013-05-20 09:56:38	11.0	8	7	0.27978360697039495	0.352811488263178	0.2797891402869422	0.35282028716890335	0.2815460997912834	0.3550358519196656
2013-05-20 09:56:39	12.0	7	4	0.24481065609909555	0.201606564721816	0.244814892534104	0.20160943780318122	0.2464924638908712	0.20299094778654728
2013-05-20 09:56:40	13.0	7	5	0.24481065609909555	0.25200820590226997	0.244814892534104	0.252012695107897	0.24663277931072475	0.25388402957303124
2013-05-20 09:56:41	14.0	11	9	0.384702459584293	0.45361477062408595	0.38471292108847716	0.45362931585760125	0.3877902519157435	0.45725791110699054
2013-05-20 09:56:42	15.0	5	3	0.17486475435649682	0.15120492354136197	0.17486691579224295	0.15120653964387218	0.17636602072651	0.1525028081155074
2013-05-20 09:56:43	16.0	11	6	0.384702459584293	0.30240984708272395	0.38471292108847716	0.30241631156185816	0.3882318754720517	0.30518250200387426
2013-05-20 09:56:44	17.0	10	5	0.34972950871299363	0.25200820590226997	0.34973815456284624	0.252012695107897	0.35313810499827264	0.2544626156020909
