//Heading
System ID:	ABSS07021
User name:	karols1
Run number:	KIH11003

HalfTime:	20.3
Tube length:	
Pump speed:	
DeadTimeSingles:	2.0E-6
DeadTimeCoincidents:	2.0E-6
DiscriminatorSingles:	115
DiscriminatorCoincidents:	230
EffectivitySingles:	0.8090312936807411
EffectivityCoincidents:	0.561374808926122
//Data
Absolute time	Time after start [s]	Singles [cnt]	Coincidents [cnt]	Singles count rate [kBq/ml]	Coincidents count rate [kBq/ml]	Singles count rate DTC [kBq/ml]	Coincidents count rate DTC [kBq/ml]	Singles DTC&decay [kBq/ml]	Coincidents DTC&decay [kBq/ml]
2013-12-06 15:27:21	10.0	17	7	0.5945401648120892	0.352811488263178	0.5945651517505641	0.35282028716890335	0.5979583869631365	0.3548338633406761
2013-12-06 15:27:22	11.0	20	7	0.6994590174259873	0.352811488263178	0.6994936016803736	0.35282028716890335	0.703886130748649	0.3550358519196656
2013-12-06 15:27:23	12.0	18	5	0.6295131156833886	0.25200820590226997	0.6295411287909328	0.252012695107897	0.6338550010175558	0.2537395887395653
2013-12-06 15:27:24	13.0	35	9	1.2240532804954776	0.45361477062408595	1.224159198702324	0.45362931585760125	1.2332492617976056	0.45699776589856506
2013-12-06 15:27:25	14.0	9	3	0.3147565578416943	0.15120492354136197	0.31476356096276215	0.15120653964387218	0.31728136464533735	0.15241604553832938
2013-12-06 15:27:26	15.0	5	4	0.17486475435649682	0.201606564721816	0.17486691579224295	0.20160943780318122	0.17636602072651	0.20333780192303927
2013-12-06 15:27:27	16.0	8	7	0.27978360697039495	0.352811488263178	0.2797891402869422	0.35282028716890335	0.28234836085822856	0.356047520849109
2013-12-06 15:27:28	17.0	8	2	0.27978360697039495	0.100803282360908	0.2797891402869422	0.10080400062613135	0.28250908718703155	0.10178395834978872
2013-12-06 15:27:29	18.0	9	5	0.3147565578416943	0.25200820590226997	0.31476356096276215	0.252012695107897	0.31800442928699085	0.2546074680173803
2013-12-06 15:27:30	19.0	12	6	0.41967541045559237	0.30240984708272395	0.4196878605409372	0.30241631156185816	0.42425041679209974	0.30570397261307763
2013-12-06 15:27:31	20.0	6	3	0.20983770522779618	0.15120492354136197	0.2098408177029651	0.15120653964387218	0.21224281211733334	0.15293736240569847
2013-12-06 15:27:32	21.0	9	6	0.3147565578416943	0.30240984708272395	0.31476356096276215	0.30241631156185816	0.31854780894467377	0.306052114617411
2013-12-06 15:27:33	22.0	10	6	0.34972950871299363	0.30240984708272395	0.34973815456284624	0.30241631156185816	0.35414436632849494	0.3062263342681125
2013-12-06 15:27:34	23.0	2	1	0.06994590174259874	0.050401641180454	0.06994624756975334	0.050401820746120096	0.07086779091410651	0.051065865838825726
2013-12-06 15:27:35	24.0	5	4	0.17486475435649682	0.201606564721816	0.17486691579224295	0.20160943780318122	0.17727164541385731	0.2043819244390085
2013-12-06 15:27:36	25.0	8	4	0.27978360697039495	0.201606564721816	0.2797891402869422	0.20160943780318122	0.2837981959510198	0.20449826850521424
2013-12-06 15:27:37	26.0	10	2	0.34972950871299363	0.100803282360908	0.34973815456284624	0.10080400062613135	0.3549514394751298	0.10230661041778791
2013-12-06 15:27:38	27.0	6	3	0.20983770522779618	0.15120492354136197	0.2098408177029651	0.15120653964387218	0.21308998982593144	0.1535478194711197
2013-12-06 15:27:39	28.0	11	4	0.384702459584293	0.201606564721816	0.38471292108847716	0.20160943780318122	0.3908921984096573	0.20484769822663745
2013-12-06 15:27:40	29.0	14	7	0.4896213121981911	0.352811488263178	0.48963825823147505	0.35282028716890335	0.4977860539915488	0.35869137177378274
2013-12-06 15:27:41	30.0	9	3	0.3147565578416943	0.15120492354136197	0.31476356096276215	0.15120653964387218	0.3201835251596925	0.15381018928077686
2013-12-06 15:27:42	31.0	9	5	0.3147565578416943	0.25200820590226997	0.31476356096276215	0.252012695107897	0.3203657890920409	0.2564980701149354
2013-12-06 15:27:43	32.0	7	4	0.24481065609909555	0.201606564721816	0.244814892534104	0.20160943780318122	0.2493140003675725	0.20531453348397244
2013-12-06 15:27:44	33.0	5	3	0.17486475435649682	0.15120492354136197	0.17486691579224295	0.15120653964387218	0.17818192040782807	0.15407300740625682
2013-12-06 15:27:45	34.0	11	4	0.384702459584293	0.201606564721816	0.38471292108847716	0.20160943780318122	0.39222918819727576	0.2055483499195094
2013-12-06 15:27:46	35.0	8	3	0.27978360697039495	0.15120492354136197	0.2797891402869422	0.15120653964387218	0.2854178570242095	0.15424846893249605
2013-12-06 15:27:47	36.0	12	6	0.41967541045559237	0.30240984708272395	0.4196878605409372	0.30241631156185816	0.4283747319990153	0.308675848404258
2013-12-06 15:27:48	37.0	14	6	0.4896213121981911	0.30240984708272395	0.48963825823147505	0.30241631156185816	0.5000574866423747	0.3088515616109979
2013-12-06 15:27:49	38.0	8	0	0.27978360697039495	0.0	0.2797891402869422	0.0	0.2859055554433608	0.0
2013-12-06 15:27:50	39.0	12	5	0.41967541045559237	0.25200820590226997	0.4196878605409372	0.252012695107897	0.42910670329814316	0.2576684887850873
2013-12-06 15:27:51	40.0	13	3	0.45464836132689174	0.15120492354136197	0.45466297292150903	0.15120653964387218	0.4651313690784488	0.15468799745500858
2013-12-06 15:27:52	41.0	9	3	0.3147565578416943	0.15120492354136197	0.31476356096276215	0.15120653964387218	0.32219414461077583	0.15477605333698805
2013-12-06 15:27:53	42.0	14	4	0.4896213121981911	0.201606564721816	0.48963825823147505	0.20160943780318122	0.5014823923791794	0.20648628144568773
2013-12-06 15:27:54	43.0	18	9	0.6295131156833886	0.45361477062408595	0.6295411287909328	0.45362931585760125	0.6451364857793979	0.4648668836632495
2013-12-06 15:27:55	44.0	11	5	0.384702459584293	0.25200820590226997	0.38471292108847716	0.252012695107897	0.3944676744066862	0.25840271098487655
2013-12-06 15:27:56	45.0	19	8	0.6644860665546879	0.403213129443632	0.6645172787671083	0.40322462193287156	0.6817545982352681	0.41368411162225976
2013-12-06 15:27:57	46.0	14	8	0.4896213121981911	0.403213129443632	0.48963825823147505	0.40322462193287156	0.5026252397908026	0.4139196006059503
2013-12-06 15:27:58	47.0	21	9	0.7344319682972866	0.45361477062408595	0.7344700975320113	0.45362931585760125	0.7543800922749534	0.46592628659108387
2013-12-06 15:27:59	48.0	14	5	0.4896213121981911	0.25200820590226997	0.48963825823147505	0.252012695107897	0.5031976398054756	0.25899159480989864
2013-12-06 15:28:00	49.0	19	6	0.6644860665546879	0.30240984708272395	0.6645172787671083	0.30241631156185816	0.68330827487436	0.31096793830642
2013-12-06 15:28:01	50.0	13	5	0.45464836132689174	0.25200820590226997	0.45466297292150903	0.252012695107897	0.46778591439679124	0.2592865397926279
2013-12-06 15:28:02	51.0	19	6	0.6644860665546879	0.30240984708272395	0.6645172787671083	0.30241631156185816	0.6840864404649439	0.31132207502371556
2013-12-06 15:28:03	52.0	24	8	0.8393508209111847	0.403213129443632	0.8394006227299842	0.40322462193287156	0.8646117681576649	0.415335352266272
2013-12-06 15:28:04	53.0	13	6	0.45464836132689174	0.30240984708272395	0.45466297292150903	0.30241631156185816	0.46858522826359394	0.31167661503922656
2013-12-06 15:28:05	54.0	12	4	0.41967541045559237	0.201606564721816	0.4196878605409372	0.20160943780318122	0.432785363571454	0.20790120954803104
2013-12-06 15:28:06	55.0	17	3	0.5945401648120892	0.15120492354136197	0.5945651517505641	0.15120653964387218	0.6134691946939337	0.15601411188440814
2013-12-06 15:28:07	56.0	21	5	0.7344319682972866	0.25200820590226997	0.7344700975320113	0.252012695107897	0.7582537706195307	0.26017339160798786
2013-12-06 15:28:08	57.0	17	6	0.5945401648120892	0.30240984708272395	0.5945651517505641	0.30241631156185816	0.61416782609611	0.3123869068025547
2013-12-06 15:28:09	58.0	19	3	0.6644860665546879	0.15120492354136197	0.6645172787671083	0.15120653964387218	0.6868170054123954	0.1562806958904848
2013-12-06 15:28:10	59.0	21	8	0.7344319682972866	0.403213129443632	0.7344700975320113	0.40322462193287156	0.7595494119262879	0.4169931839191913
2013-12-06 15:28:11	60.0	18	8	0.6295131156833886	0.403213129443632	0.6295411287909328	0.40322462193287156	0.6514081265687102	0.41723055658671276
2013-12-06 15:28:12	61.0	27	4	0.944269673525083	0.201606564721816	0.9443327044194835	0.20160943780318122	0.9776901627517361	0.20873105753469595
2013-12-06 15:28:13	62.0	28	6	0.9792426243963822	0.30240984708272395	0.9793104108756413	0.30241631156185816	1.0144805789621403	0.3132770482512797
2013-12-06 15:28:14	63.0	34	15	1.1890803296241783	0.7560246177068101	1.1891802815787924	0.756065021996955	1.2325887976683663	0.7836635797434275
2013-12-06 15:28:15	64.0	64	22	2.2382688557631596	1.108836105969988	2.2386230370550093	1.108923022255157	2.321660095005021	1.150056211602766
2013-12-06 15:28:16	65.0	118	27	4.126808202813325	1.360844311872258	4.128012372451147	1.3609752273695503	4.283569419131376	1.4122612381352715
2013-12-06 15:28:17	66.0	126	41	4.406591809783719	2.066467288398614	4.40796481864379	2.0667691813054065	4.57667517421641	2.1458726628009437
2013-12-06 15:28:18	67.0	259	78	9.057994275666536	3.9313280120754115	9.063797570518293	3.932420789366781	9.41606220195289	4.085254383589785
2013-12-06 15:28:19	68.0	313	97	10.9465336227167	4.8889591945040385	10.955010224863404	4.8906493059060105	11.38725535314184	5.083616659948124
2013-12-06 15:28:20	69.0	455	111	15.912692646441212	5.594582171030394	15.930611429699981	5.596795466985101	16.568602089996144	5.8209364706924305
2013-12-06 15:28:21	70.0	549	141	19.200150028343348	7.106631406444014	19.226243475532634	7.110203132947608	20.0076007386659	7.399162797239367
2013-12-06 15:28:22	71.0	762	172	26.649388563930117	8.669082283038087	26.69968367394245	8.674397792022475	27.800579036563555	9.032065111957365
2013-12-06 15:28:23	72.0	926	245	32.38495250682321	12.348402089211229	32.45925685594637	12.359189896132401	33.81687320740483	12.876116034282592
2013-12-06 15:28:24	73.0	1108	261	38.7500295653997	13.154828348098494	38.85646045012572	13.167071882031854	40.50468551164808	13.725596709343064
2013-12-06 15:28:25	74.0	1317	304	46.05937629750127	15.322098918858016	46.20982372350125	15.338711592779472	48.197386638687696	15.998455601130754
2013-12-06 15:28:26	75.0	1392	327	48.682347612848716	16.481336666008456	48.85044945556677	16.500559769570838	50.980594270290545	17.220073760228413
2013-12-06 15:28:27	76.0	1624	357	56.79607221499017	17.99338590142208	57.02500925550838	18.016300428938674	59.5454861420862	18.8126118965847
2013-12-06 15:28:28	77.0	1881	411	65.78412058891409	20.715074525166592	66.09144617998975	20.74545130856423	69.05194038145147	21.674721158984088
2013-12-06 15:28:29	78.0	2086	451	72.95357551753048	22.73114017238475	73.33173145043551	22.767722657937938	76.66016016869942	23.801118985084095
2013-12-06 15:28:30	79.0	2227	449	77.88476159038369	22.630336890023845	78.31591808814737	22.66659537958772	81.9171770235624	23.708890242993412
2013-12-06 15:28:31	80.0	2390	509	83.58535258240548	25.654435360851085	84.08213510359406	25.701041763738196	87.99861083369618	26.898174854875876
2013-12-06 15:28:32	81.0	2550	509	89.18102472181337	25.654435360851085	89.74677359818672	25.701041763738196	93.98057131058542	26.91348659560207
2013-12-06 15:28:33	82.0	2576	515	90.09032144446716	25.95684520793381	90.66770332223231	26.00455788437568	94.99899307986526	27.246822451462727
2013-12-06 15:28:34	83.0	2669	524	93.342805875498	26.4104599785579	93.96277359413041	26.459856440794947	98.50751559393785	27.739652856711608
2013-12-06 15:28:35	84.0	2696	534	94.28707554902309	26.914476390362438	94.91969258922757	26.965778034973894	99.56736465235045	28.28613727566263
2013-12-06 15:28:36	85.0	2700	559	94.42696735250827	28.174517419873787	95.06146930348149	28.23074004844977	99.77284657031977	29.62989438369016
2013-12-06 15:28:37	86.0	2582	505	90.30015914969495	25.45282879612927	90.88024248622914	25.498704905182862	95.43868980141656	26.777690301083403
2013-12-06 15:28:38	87.0	2607	513	91.17448292147743	25.8560419255729	91.76589064272186	25.90338439974801	96.42361879476535	27.218153121621462
2013-12-06 15:28:39	88.0	2598	512	90.85972636363576	25.80564028439245	91.44704461390027	25.85279819909567	96.14328748082137	27.180462965574065
2013-12-06 15:28:40	89.0	2558	495	89.46080832878378	24.94881238432473	90.0301239009687	24.99288803353409	94.70748251924991	26.291350094610184
2013-12-06 15:28:41	90.0	2441	500	85.36897307684175	25.200820590227	85.88724913557397	25.245791956157102	90.40080312333886	26.572510952339268
2013-12-06 15:28:42	91.0	2378	488	83.1656771719499	24.596000896061554	83.65746892999287	24.638837705298457	88.10396782160456	25.94842268256917
2013-12-06 15:28:43	92.0	2256	469	78.89897716565137	23.638369713632926	79.34146771593105	23.677933122813478	83.60613132875362	24.950639851371175
2013-12-06 15:28:44	93.0	2186	452	76.45087060466041	22.78154181356521	76.86625536304014	22.818286838411233	81.04398235230519	24.05847438655423
2013-12-06 15:28:45	94.0	1959	411	68.51201075687545	20.715074525166592	68.84541732245115	20.74545130856423	72.62852710842098	21.8854301613643
2013-12-06 15:28:46	95.0	2000	416	69.94590174259872	20.967082731068864	70.2934455078742	20.998203659844435	74.19833883017739	22.164681482339336
