//Heading
System ID:	ABSS07021
User name:	karols1
Run number:	KIH11003

HalfTime:	20.3
Tube length:	
Pump speed:	
DeadTimeSingles:	2.0E-6
DeadTimeCoincidents:	2.0E-6
DiscriminatorSingles:	115
DiscriminatorCoincidents:	230
EffectivitySingles:	0.8090312936807411
EffectivityCoincidents:	0.561374808926122
//Data
Absolute time	Time after start [s]	Singles [cnt]	Coincidents [cnt]	Singles count rate [kBq/ml]	Coincidents count rate [kBq/ml]	Singles count rate DTC [kBq/ml]	Coincidents count rate DTC [kBq/ml]	Singles DTC&decay [kBq/ml]	Coincidents DTC&decay [kBq/ml]
2013-05-22 10:04:50	0.0	9	7	0.3147565578416943	0.352811488263178	0.31476356096276215	0.35282028716890335	0.31476356096276215	0.35282028716890335
2013-05-22 10:04:51	1.0	7	6	0.24481065609909555	0.30240984708272395	0.244814892534104	0.30241631156185816	0.2449542529992886	0.3025884615377948
2013-05-22 10:04:52	2.0	8	5	0.27978360697039495	0.25200820590226997	0.2797891402869422	0.252012695107897	0.28010776994444264	0.25229969237535926
2013-05-22 10:04:53	3.0	3	3	0.10491885261389809	0.15120492354136197	0.10491963072691954	0.15120653964387218	0.10509890871105462	0.1514649088682736
2013-05-22 10:04:54	4.0	11	7	0.384702459584293	0.352811488263178	0.38471292108847716	0.35282028716890335	0.3855896580841632	0.35362434282087973
2013-05-22 10:04:55	5.0	5	3	0.17486475435649682	0.15120492354136197	0.17486691579224295	0.15120653964387218	0.17536519624628183	0.15163740023797628
2013-05-22 10:04:56	6.0	5	4	0.17486475435649682	0.201606564721816	0.17486691579224295	0.20160943780318122	0.17546502258884256	0.2022990134982885
2013-05-22 10:04:57	7.0	8	6	0.27978360697039495	0.30240984708272395	0.2797891402869422	0.30241631156185816	0.280905932513705	0.3036234212647301
2013-05-22 10:04:58	8.0	10	8	0.34972950871299363	0.403213129443632	0.34973815456284624	0.40322462193287156	0.3513340342729017	0.4050645641420417
2013-05-22 10:04:59	9.0	5	3	0.17486475435649682	0.15120492354136197	0.17486691579224295	0.15120653964387218	0.17576484270179948	0.15198297251130188
2013-05-22 10:05:00	10.0	6	4	0.20983770522779618	0.201606564721816	0.2098408177029651	0.20160943780318122	0.2110383975637562	0.20276004046047869
2013-05-22 10:05:01	11.0	5	4	0.17486475435649682	0.201606564721816	0.17486691579224295	0.20160943780318122	0.17596500733854437	0.20287546127196174
2013-05-22 10:05:02	12.0	9	7	0.3147565578416943	0.352811488263178	0.31476356096276215	0.35282028716890335	0.3169204490857002	0.35523795548031323
2013-05-22 10:05:03	13.0	6	4	0.20983770522779618	0.201606564721816	0.2098408177029651	0.20160943780318122	0.21139900251659677	0.20310650004163672
2013-05-22 10:05:04	14.0	3	2	0.10491885261389809	0.100803282360908	0.10491963072691954	0.10080400062613135	0.10575888617253296	0.10161033501635898
2013-05-22 10:05:05	15.0	3	3	0.10491885261389809	0.15120492354136197	0.10491963072691954	0.15120653964387218	0.10581908924033594	0.1525028081155074
2013-05-22 10:05:06	16.0	8	5	0.27978360697039495	0.25200820590226997	0.2797891402869422	0.252012695107897	0.28234836085822856	0.25431784559688303
2013-05-22 10:05:07	17.0	10	6	0.34972950871299363	0.30240984708272395	0.34973815456284624	0.30241631156185816	0.35313810499827264	0.3053562266290603
2013-05-22 10:05:08	18.0	10	6	0.34972950871299363	0.30240984708272395	0.34973815456284624	0.30241631156185816	0.3533391282696821	0.3055300501466966
2013-05-22 10:05:09	19.0	14	10	0.4896213121981911	0.5040164118045399	0.48963825823147505	0.5040343689469315	0.4949612668432155	0.5095138821210212
2013-05-22 10:05:10	20.0	5	4	0.17486475435649682	0.201606564721816	0.17486691579224295	0.20160943780318122	0.17686857285586216	0.20391720970756186
2013-05-22 10:05:11	21.0	5	5	0.17486475435649682	0.25200820590226997	0.17486691579224295	0.252012695107897	0.17696925499302546	0.25504252019298995
2013-05-22 10:05:12	22.0	8	3	0.27978360697039495	0.15120492354136197	0.2797891402869422	0.15120653964387218	0.2833140922710173	0.15311153063593205
2013-05-22 10:05:13	23.0	8	7	0.27978360697039495	0.352811488263178	0.2797891402869422	0.35282028716890335	0.2834753683408003	0.35746870218314747
